id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type,category,search_keyword,search_location,scraped_at,salary,tags,source,department
in-2efff4ed0e1fc961,indeed,https://www.indeed.com/viewjob?jk=2efff4ed0e1fc961,https://souvenierhospiceandpallativecare.betterteam.com/graphic-designer-cinematographer-3?utm_source=indeed&utm_medium=web_xmlfeed&utm_campaign=indeed_organic,Graphic Designer / Cinematographer,Blize Healthcare,"Walnut Creek, CA, US",2026-01-30,fulltime,,,,,,False,,,,,"**About Us:**
Kerae Medical is a growing healthcare company dedicated to providing high\-quality durable medical equipment (DME) that enhances comfort, mobility, and quality of life. **Position Overview:**
We are looking for a creative and skilled Graphic Designer / Cinematographer to support our branding, marketing, and digital media projects. The ideal candidate has strong design skills, a good eye for visual storytelling, and technical knowledge in graphics rendering and video production. **Responsibilities:*** Design digital graphics, web visuals, and marketing materials aligned with Kere Medical’s brand.
* Capture and edit high\-quality photos and videos for promotional use.
* Create motion graphics, video intros, and animations for digital campaigns.
* Perform graphics rendering and ensure all visual outputs are optimized for various platforms.
* Collaborate with the marketing team on creative concepts, layouts, and visual storytelling.
* Maintain consistent visual branding across website, Amazon listings, and social media.

  

**Qualifications:*** Proven experience in graphic design and cinematography (portfolio required).
* Proficiency in Adobe Creative Suite (Photoshop, Illustrator, Premiere Pro, After Effects).
* Strong understanding of graphics rendering and video post\-production workflows.
* Experience with lighting, shooting, and editing professional\-quality videos.
* Excellent attention to detail and ability to manage multiple creative projects.

  

**Preferred Skills:*** Experience in product photography or healthcare media.
* Familiarity with website or e\-commerce visuals (Amazon, Shopify, or WordPress).
* Creative mindset with a passion for storytelling through visuals.

  

**Compensation:** Competitive pay based on experience.",,https://www.indeed.com/cmp/Blize-Healthcare,,http://www.blizecare.com,Hercules,51 to 200,$5M to $25M (USD),,,,,,,,graphic_design,Graphic Designer,"Oakland, CA",2026-01-30T17:00:10.467575,,,,
in-9a27e4f2ae2ca2de,indeed,https://www.indeed.com/viewjob?jk=9a27e4f2ae2ca2de,https://apply.workable.com/j/301BD4ADED,Junior Graphic Designer,"Dunlop Manufacturing, Inc.","Benicia, CA, US",2026-01-29,fulltime,direct_data,hourly,27.0,37.0,USD,False,,,,,"**Dunlop Manufacturing, Inc.**, a fast\-growing manufacturer at the heart of the music industry—is looking for a **Junior Graphic Designer** to join our creative team in **Benicia, CA**. This role is perfect for a design\-driven creative who is ready to develop their skills while contributing to an established, iconic brands such as Tortex®, MXR®, Cry Baby®, Dunlop® and more. In this role you will be mentored and work closely and with the Production Artist, Senior Designer and Art Director. The ideal candidate has a strong portfolio showcasing branding, typography, layout, and color theory, with hands\-on experience across print and digital design.

* Support senior designer and art director on design projects
* Assist with the creation of digital assets for web, email, and social media
* Implement design changes across packaging systems
* Execute design revisions based on feedback
* Produce high\-quality physical comps for internal design reviews and executive presentations.
* Prepare files for print and digital production
* Photography re\-touch and edit support
* Maintain brand consistency across all deliverables
* Organize and manage design files and assets
* Participate in team meetings and collaborative creative sessions
* Research design trends, references, and inspiration
* Collaborate with cross\-functional teams as needed
* Reports to Art Director

**Requirements**

* Bachelor’s degree in Graphic Design or related field
* 0–2 years of professional design experience
* Portfolio demonstrating a passion for design and strong fundamentals
* Basic understanding of branding, typography, layout, and color theory
* Experience creating print and digital work
* Familiarity with digital design formats (social media, email, web)
* Excellent craft with physical and digital design projects
* Willingness to learn and take direction
* Strong attention to detail and organizational skills
* Good written and verbal communication skills
* Ability to manage multiple tasks and meet deadlines
* Proficiency in Adobe Creative Suite (Photoshop, Illustrator, InDesign, After Effects)
* Interest in design trends and visual culture
* Passion for guitar or music is a definite plus


Other

**For consideration, please provide a link to your digital portfolio.**

**Benefits**


We offer acompetitive hourly wage**,** commensurate with experience, ranging from $27\.00–$37\.00 per hour**.** Benefits include: Profit Sharing Plan, 401k Program, Medical, Dental, Vision Plan, Life Insurance, Long\-Term Disability Insurance, Paid Holidays, Vacation and Sick Leave.


Local San Francisco, Bay Area candidates are preferred.


Dunlop Manufacturing Inc. is an Equal Opportunity Employer",,"https://www.indeed.com/cmp/Dunlop-Manufacturing,-Inc.",,https://www.jimdunlop.com,Benicia,51 to 200,$5M to $25M (USD),,,,,,,,graphic_design,Graphic Designer,"Oakland, CA",2026-01-30T17:00:10.467575,,,,
in-de9133364f79f7ef,indeed,https://www.indeed.com/viewjob?jk=de9133364f79f7ef,https://apply.workable.com/j/907A282583,Senior Graphic Designer,"Dunlop Manufacturing, Inc.","Benicia, CA, US",2026-01-29,fulltime,direct_data,yearly,85000.0,100000.0,USD,False,,,,,"**Dunlop Manufacturing, Inc.**, a fast\-growing manufacturer at the heart of the music industry, is looking for a **Senior Graphic Designer** to join our creative team in **Benicia, CA**. In this role, you will be responsible for conceiving and developing the core creative ideas that fuel Dunlop’s global marketing. Your creativity will influence Dunlop’s brand perception as it applies to product lines such as Tortex®, MXR®, Cry Baby®, Dunlop® and more. You’ll work closely with the Art Director and supporting creative team to create award\-winning branding, packaging, print, environmental, POP, and digital design projects.  

  

In joining the Dunlop in\-house design team you will collaborate with iconic rock artists, past and present—including Jimi Hendrix, Metallica, Tool, Eddie Van Halen, Green Day, Iron Maiden, Jack White, Tom Morello and Slash. Our team also collaborates with outside agencies, illustrators, artists, and brands including Pendleton, Supreme, Shepard Fairey, John Van Hamersveld, ilovedust, and One Horse Town.

 **ESSENTIAL DUTIES AND RESPONSIBILITIES:**

* Serve as a lead creative contributor driving Dunlop’s marketing campaigns across print and digital
* Design award\-winning packaging for consumer electronic products and musical accessories
* Collaborate with cross\-functional teams to design and launch industry\-leading music products
* Work closely with Art Director and Creative Director to design electronic products for iconic rock artists, past and present
* Collaborate with the Creative Director and Art Director on title sequences for product demos, short films, and social media content
* Create presentations for executive leadership, as well as external artists and management teams
* Maintain and evolve brand consistency across Dunlop’s 2,000\+ product catalog
* Proactively research music industry trends, as well as broader design, photography, and visual culture trends
* Partner with world\-class external agencies, illustrators, artists and brand collaborators
* Oversee projects from concept through final execution, ensuring consistency, quality, and attention to detail
* Work closely with photographers, video editors, print and web production artists
* Mentor junior designers and share expertise to strengthen the overall creative team
* Participate in weekly project status meetings, marketing meetings, and collaborative creative sessions
* Role reports to the Art Director

 **Requirements**

* Bachelor’s degree in graphic design or related field
* 4–7\+ years of professional design experience in an agency or in\-house studio environment
* Strong portfolio demonstrating excellence in print, packaging, digital and motion design
* Demonstrates a mastery of branding, typography, layout, and color theory
* Proven experience in executing dynamic marketing campaigns in print and digital
* Wide understanding of printing techniques
* Solid understanding of point of purchase design principles
* Experience with trade show and exhibition design
* Excellent written and verbal communication skills
* Receptive to feedback with the ability to iterate and refine creative work
* Exceptional time management, organizational skills, and attention to detail
* Advanced in Adobe Creative Suite (Photoshop, Illustrator, InDesign, After Effects)
* Passion for guitar or music is a definite plus


Other

**For consideration, please provide a link to your digital portfolio.**


Relocation assistance may be provided for qualified candidates

**Benefits**


We offer a competitive salary commensurate with experience, ranging from $85,000 to $100,000 annually. Benefits include: Profit Sharing Plan, 401k Program, Medical, Dental, Vision Plan, Life Insurance, Long\-Term Disability Insurance, Paid Holidays, Vacation and Sick Leave.


Dunlop Manufacturing Inc. is an Equal Opportunity Employer.",,"https://www.indeed.com/cmp/Dunlop-Manufacturing,-Inc.",,https://www.jimdunlop.com,Benicia,51 to 200,$5M to $25M (USD),,,,,,,,graphic_design,Graphic Designer,"Oakland, CA",2026-01-30T17:00:10.467575,,,,
in-eddf42228665d7a1,indeed,https://www.indeed.com/viewjob?jk=eddf42228665d7a1,https://click.appcast.io/t/VVqQP9WcEEk0tOE2u1b8rLCoSW1vwoWQiWyGOqz3tcQ=,Visual Designer - RTX Creative Team,NVIDIA,"Santa Clara, CA, US",2026-01-29,fulltime,direct_data,yearly,100000.0,166750.0,USD,False,,,,,"NVIDIA has been transforming computer graphics, PC gaming, and accelerated computing for more than 25 years. It’s a unique legacy of innovation that’s fueled by great technology—and amazing people.


Today, we’re tapping into the unlimited potential of AI to define the next era of computing. An era in which our GPU acts as the brains of computers, robots, and self\-driving cars that can understand the world. Doing what’s never been done before takes vision, innovation, and the world’s best talent. As an NVIDIAN, you’ll be immersed in a diverse, supportive environment where everyone is inspired to do their best work. Come join the team and see how you can make a lasting impact on the world!


Are you ready to craft the future of visual storytelling? At NVIDIA, we are redefining the boundaries of computer graphics, gaming, and AI. As a Visual Designer, you will be at the forefront of our creative journey, collaborating with a world\-class global team. This is an outstanding opportunity to bring your inventive ideas to life while collaborating with some of the most innovative individuals in the industry.

**What you'll be doing:**
-------------------------

* Collaborate with various roles to generate strategic and purposeful work for NVIDIA's GeForce and RTX PRO.
* Collaborate with teams in Marketing, Product, Event, Web, and PR to develop visual assets across all channels, social media, virtual experiences, websites, event marketing, and more.
* Work with teams from around the globe to make it all real from concept to final production.

**What we need to see:**
------------------------

* A BFA, BS, MFA in Graphic Design, or a similar degree, or equivalent experience in the creative field.
* 5\+ years of experience in visual design for global brands, including creation for product launches, promotional activities, and industry exhibitions.
* Impressive practical demonstrations illustrating your talent in imagining and implementing inventive artistic encounters through your proficiency in art direction, hands\-on creativity, and storytelling in 2D, 3D graphics, and video.
* Inflexible refinement and meticulous care coupled with the knack to streamline operations and uphold efficiency while exploring innovative frontiers.
* A background in proficient storytelling across various mediums – including 2D/graphic composition, 3D rendering motion graphics, video, photography.
* Outstanding communication skills – with the ability to simplify intricate concepts into clear, engaging narratives. You excel at presenting ideas, facilitating creative discussions, and adjusting promptly to real\-time feedback.
* Having a robust team\-oriented attitude, skilled at collaborating with diverse creative groups and eagerly tackling any required assignment to reach goals.
* Proficiency in fundamental design principles across art direction, typography, video, photography, and 3D, and an ability to implement brand systems in practical projects.
* A passion for working agile and in non\-linear workflows, with a keen interest in exploring new technologies and trends from the inside out.


Please provide a PDF or online portfolio showcasing 5\-10 build samples, which will be requested during the interview process.


Widely considered to be one of the technology world’s most desirable employers, NVIDIA offers highly competitive salaries and a comprehensive benefits package. As you plan your future, see what we can offer to you and your family www.nvidiabenefits.com/


Your base salary will be determined based on your location, experience, and the pay of employees in similar positions. The base salary range is 100,000 USD \- 166,750 USD.
You will also be eligible for equity and benefits.


Applications for this job will be accepted at least until February 3, 2026\.
This posting is for an existing vacancy.


NVIDIA uses AI tools in its recruiting processes.


NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",,https://www.indeed.com/cmp/Nvidia,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/9cda2ebf26905efa812e1a5315c7a53d,http://www.nvidia.com,"Santa Clara, CA","10,000+",$5B to $10B (USD),Bringing superhuman capabilities to some of the world's toughest problems.,,,,,,,graphic_design,Graphic Designer,"Oakland, CA",2026-01-30T17:00:10.467575,,,,
in-2b3fdc084913badd,indeed,https://www.indeed.com/viewjob?jk=2b3fdc084913badd,https://grnh.se/pp8xn5dg5us,Sales Presentation Specialist,NetraDyne,"San Francisco, CA, US",2026-01-28,,direct_data,yearly,76950.0,102600.0,USD,False,,,,,"**Netradyne** harnesses the power of Computer Vision and Edge Computing to revolutionize the modern\-day transportation ecosystem. We are a leader in fleet safety solutions. With growth exceeding 4x year over year, our solution is quickly being recognized as a significant disruptive technology. Our team is growing, and we need forward\-thinking, uncompromising, competitive team members to continue to facilitate our growth.

**POSITION SUMMARY:**



Under the supervision of the Sales Enablement Director, the Strategic Sales Presentation Specialist is responsible for partnering with Account Executives on high\-stakes, late\-stage enterprise opportunities to build bespoke presentation decks that address specific client pain points and strategic goals.

  


**ESSENTIAL FUNCTIONS:**



To perform this job successfully, an individual must be able to perform each essential function satisfactorily.


* Partner with Account Executives on high\-stakes, late\-stage enterprise opportunities to build bespoke presentation decks that address specific client pain points and strategic goals.
* Transform dense technical information, data, and SaaS workflows into intuitive infographics, clean diagrams, and emotionally resonant narratives.
* Own and maintain the master sales deck library with up\-to\-date, on\-brand templates and modules.
* Work closely with Product Marketing to translate new feature launches and roadmaps into digestable slide collateral.
* Act as the ""Brand Police"" for the sales organization, ensuring all external\-facing materials meet the high visual standards typical of a top\-tier creative agency.

  


**QUALIFICATIONS:**


* **The Enterprise Sales Cycle:** Deep familiarity with the stages of complex B2B sales (Discovery, Demo, Solutioning, Negotiation, Close) and the specific collateral needs at each stage.
* **Buyer Psychology \& Personas:** Understanding the distinct motivations and pain points of different stakeholders (e.g., the technical user vs. the C\-Suite financial buyer) and how to tailor messaging to each.
* **Objection Handling:** Knowledge of common sales objections (price, implementation time, competitor comparison) and how to visually structure arguments to preemptively address them.
* **Sales Methodologies:** Familiarity with common frameworks (like Challenger Sales, MEDDIC, or Consultative Selling) to align presentation flow with the sales team's approach.
* **Information Design Theory:** A strong theoretical grasp of how to simplify complex data. This includes knowledge of how to turn a dense technical architecture diagram into a digestible visual without losing accuracy.
* **Visual Hierarchy \& Cognitive Load:** Understanding how the human eye scans a slide. Knowledge of how to use whitespace, scale, and contrast to ensure a prospect focuses on the *value proposition*, not the decoration.
* **Brand Systems:** Practical knowledge of how to work within (and stretch) strict brand guidelines. This involves understanding typography, color theory, and master template construction.
* **Technical Proficiency:** Deep technical knowledge of presentation software (PowerPoint, Keynote, Google Slides) beyond the basics—including master slides, animation builds for storytelling, and file optimization—as well as design tools like Adobe Illustrator or Figma.
* S**torytelling Structures:** Knowledge of narrative arcs (e.g., ""The Hero's Journey"" or ""Problem/Agitation/Solution"") applied to a business context. They must know how to build tension and release it through the product solution.
* **Features vs. Benefits:** The theoretical understanding of marketing translation—knowing how to take a product ""feature"" (what it does) and translate it into a ""benefit"" (why it matters) visually.

  


**EDUCATION:**



Bachelor's degree required;

  


**Compensation Package\_Perks of being a Netradyne employee:**


* Salary \+ eligibility for yearly bonus
* Company equity
* Company Paid Health Care, Dental, and Vision Coverage for you and most of your dependents
* Generous PTO and Sick Leave
* 401(K) with generous company match
* Disability, Life Insurance and Ancillary Benefits
* And much more!

  

We are committed to an inclusive and diverse team. Netradyne is an equal\-opportunity employer. We do not discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status, or any legally protected status.



If there is a match between your experiences/skills and the Company's needs, we will contact you directly.



Netradyne is an equal\-opportunity employer.


**Applicants only \- Recruiting agencies do not contact.**


**Recruitment Fraud Alert!**



There has been an increase in fraud that targets job seekers. Scammers may present themselves to job seekers as Netradyne employees or recruiters. Please be aware that Netradyne does not request sensitive personal data from applicants via text/instant message or any unsecured method; does not promise any advance payment for work equipment set\-up and does not use recruitment or job\-sourcing agencies that charge candidates an advance fee of any kind. Official communication about your application will only come from emails ending in '@netradyne.com' or '@us\-greenhouse\-mail.io'.



Please review and apply to our available job openings at Netradyne.com/company/careers. For more information on avoiding and reporting scams, please visit the Federal Trade Commission's job scams website.",,https://www.indeed.com/cmp/Netradyne,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/1adc008035171a42095323d7c6cab920,https://www.netradyne.com/,San Diego,11 to 50,less than $1M (USD),,,,,,,,graphic_design,Graphic Designer,"Oakland, CA",2026-01-30T17:00:10.467575,,,,
in-c2bbd8371e553b07,indeed,https://www.indeed.com/viewjob?jk=c2bbd8371e553b07,https://healthadvances.hrmdirect.com/employment/view.php?req=3626040&jbsrc=1014&location=9ceaec1a-d999-aabc-98b3-5d572e30d687,Graphics Specialist (SF),Health Advances,"San Francisco, CA, US",2026-01-27,fulltime,direct_data,yearly,60000.0,70000.0,USD,False,,,,,"**Overview**


The **Graphics Specialist** is a key member of the Graphics and Marketing team and works closely with consulting staff, the management team, and functional teams to develop high\-quality visual materials that support both internal and external initiatives. This role is responsible for creating original and enhanced PowerPoint graphics, ensuring brand consistency, and delivering timely creative support across the organization. The Graphics Specialist reports to the **Senior Manager, Graphics and Marketing** and collaborates with multiple internal teams to uphold Health Advances’ visual standards and communication quality.


**Key Responsibilities**


* **Presentation \& Visual Design**
	+ Design and produce compelling presentation deliverables for consulting teams
	+ Advise consultants on best practices for effective presentation graphics and visual storytelling
	+ Create illustrations, icons, and quantitative data visualizations using appropriate software tools
* **Brand \& Template Stewardship**
	+ Use and maintain presentation and document templates to uphold Health Advances’ corporate identity
	+ Ensure consistent application of visual standards in all internal and external communication materials
* **Production \& Workflow Support**
	+ Share in the production management of client deliverables and other projects
	+ Communicate timelines and set expectations for task and project completion to internal stakeholders
* **Marketing \& Web Support**
	+ Assist with updates to the Health Advances website and social media channels (e.g., LinkedIn, Facebook)
	+ Support the Marketing Team in the execution of digital and print marketing activities
* **Internal Knowledge \& Extranet Support**
	+ Assist case teams with posting interviewee materials to the firm’s Experts extranet platform
* **Ad Hoc Projects**
	+ Support cross\-functional and time\-sensitive initiatives as needed

**Qualifications**


* **Education \& Experience**
	+ A two\- or four\-year degree in graphic design, visual arts, or a related field — or equivalent professional experience
	+ 1\+ years of experience in a corporate environment; experience in professional services is preferred
* **Technical Skills**
	+ Strong PowerPoint skills (1\+ years of advanced use required)
	+ Proficiency with Microsoft Office programs
	+ Experience with Adobe Illustrator, Photoshop, and Acrobat
	+ Familiarity with website content management systems and basic web design tools; HTML/CSS or web\-coding experience is a plus
	+ Exposure to AI\-based design platforms preferred
* **Creative \& Professional Skills**
	+ Demonstrated creativity and strong graphic design capability
	+ Excellent verbal and written communication skills
	+ Strong organizational skills and precise attention to detail
	+ Ability to manage multiple projects and deadlines simultaneously
	+ Ability to work in a fast\-paced environment
	+ Respect for confidentiality
	+ Genuine interest in healthcare and the firm’s mission

**Work Expectations**


* Must reside in the **Boston area** and work onsite at the Newton, MA office \~2 days per week **OR** reside in the **Bay Area** and work onsite at the San Francisco, CA office \~2 days per week
* Full\-time role at **45 hours per week**
* Standard schedule: **Monday–Friday, 8:30am–5:30pm** (local time — ET for Newton, PT for San Francisco)
* Permanent US work authorization required


**Compensation \& Additional Information**


This position is based in Newton, MA or San Francisco, CA. Compensation is determined based on a range of factors including experience, skill set, training, certifications, and organizational needs.


* **Base salary range:** $60,000\-70,000 USD
* **Annual incentive eligibility:** Reasonable first\-year estimate ranging from $0\-4,200 USD (subject to program rules and performance factors)


Health Advances may work with third\-party service providers for recruiting, screening, and pre\-employment processes. By applying, candidates acknowledge that their information may be shared with such providers for recruiting\-related purposes.


Applicants in California: In accordance with the **San Francisco Fair Chance Ordinance**, Health Advances will consider qualified applicants with arrest or conviction records.


*Health Advances provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.*


*This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.*",,https://www.indeed.com/cmp/Health-Advances,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/dfc1218d93247aef3d3a14cdc08585f0,https://www.healthadvances.com,"Weston, MA",51 to 200,$5M to $25M (USD),,,,,,,,graphic_design,Graphic Designer,"Oakland, CA",2026-01-30T17:00:10.467575,,,,
in-fcde3be218c2e1e1,indeed,https://www.indeed.com/viewjob?jk=fcde3be218c2e1e1,https://jobs.ashbyhq.com/console/d814ca2d-98d8-43f0-9e72-aba4c847332f?utm_source=eaXk7N70Qa,Brand Designer,Console,"San Francisco, CA, US",2026-01-27,fulltime,direct_data,yearly,150000.0,200000.0,USD,False,,,,,"**About Console**


Console builds AI agents that automate IT support directly in Slack, handling everything from password resets to onboarding so teams can focus on their core tasks.


We’re backed by Thrive Capital (investors in OpenAI, Stripe, GitHub), SV Angel, Jack Altman and other Tier 1 startup founders. Customers like Webflow, Ramp, and Cursor already use Console to automate up to 70% of IT requests.


We’re at an inflection point – strong product\-market fit, massive market, and an opportunity to define the next generation of internal automation.

**Why Join**

* Impact from day 1: You’ll own our brand identity.
* Autonomy: High\-agency environment. Ship fast, iterate faster, and own results end\-to\-end.
* Team: Ex\-founders and startup operators obsessed with solving hard problems.
* Upside: Competitive pay in the top 10% of early\-stage SF startups plus equity.

**The Role**


We’re hiring a Brand Designer to help shape and maintain Console’s brand as the company grows. This role sits at the center of how Console shows up in the world from foundational brand work to high\-visibility moments tied to launches, campaigns, and category creation.


You’ll work on marketing\-led brand initiatives that influence perception and drive growth. This role is ideal for a designer who cares about storytelling, thrives in high\-velocity environments, and wants to help shape a brand.

**What You’ll Do**

* Design high\-quality brand assets across web, campaigns, sales materials, events, social, and internal storytelling.
* Help evolve and expand Console’s brand system, maintaining consistency while exploring new, differentiated expressions.
* Translate brand strategy and messaging into clear, compelling visual work.
* Bring systems thinking and strong attention to detail to layouts, concepts, and executions.
* Iterate quickly across multiple workstreams, balancing speed with polish.
* Bring references, inspiration, and creative ideas that help Console stand out in a crowded AI landscape.
* Maintain a high bar for quality and coherence across all brand touchpoints.

**About You**

* 4–6 years of experience in brand design, visual design, or marketing\-focused creative roles.
* A portfolio that demonstrates strong visual taste, storytelling, and brand thinking.
* Proficient in Figma and Adobe Creative Suite; curious about AI\-assisted design tools and workflows.
* Experience designing for marketing materials (web, campaigns, decks, events, content).
* Comfortable working in fast\-moving environments with evolving priorities.
* Interested in technology and AI\-driven companies.


Compensation Range: $150K \- $200K",Internet And Software,https://www.indeed.com/cmp/Console,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/cd89e42770b051ae3d01547065da1e15,http://www.console.com.au,"Level 2, 200 Adelaide Street
BRISBANE QLD 4000",51 to 200,,"Console entered the property management market back in 1992, creating a trust accounting software that changed an entire industry.",,,,,,,graphic_design,Graphic Designer,"Oakland, CA",2026-01-30T17:00:10.467575,,,,
in-6284f1f2c33e3fdf,indeed,https://www.indeed.com/viewjob?jk=6284f1f2c33e3fdf,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=7f890e6c-6222-4f27-a132-d9949bc73d51&ccId=19000101_000001&jobId=586239&source=IN&lang=en_US,Sign Detailer/Graphic Designer,ARCHITECTURAL DESIGN,"Hayward, CA, US",2026-01-26,fulltime,direct_data,hourly,26.0,32.0,USD,False,,,,,"**Job Purpose**


We are seeking a talented and detail\-oriented Signage Detailer/Designer to support and help drive the AD/S brand. This role works collaboratively within a team of designers to develop conceptual, permit, and production drawings for clients nationwide. Projects include, but are not limited to, commercial pylon and monument signage, wayfinding programs, and other custom signage solutions.

 **Key Responsibilities**

* Develop clear, creative conceptual drawings based on client requirements and hand sketches
* Translate conceptual designs into accurate technical drawings
* Produce complete permit drawing sets for city and municipal planning approval, including required forms, schedules, and details
* Develop detailed production drawing sets for in\-house manufacturing
* Support the Design Department on large\-scale signage programs and multi\-site projects
* Collaborate cross\-functionally with internal teams to ensure design intent and production feasibility
* Maintain customer confidence by handling proprietary and confidential information appropriately
* Provide design expertise and problem\-solving solutions to customers
* Deliver high\-quality customer service with attention to accuracy and timelines

 **Skills \& Qualifications**

* Required: Proficiency in **CorelDRAW** (X6 or newer)
* Preferred: Experience with **SolidWorks**
* Strong organizational and time\-management skills with the ability to manage multiple projects under tight deadlines
* Ability to develop conceptual drawings from hand sketches
* Excellent verbal and written communication skills
* Strong attention to detail and problem\-solving ability
* Positive attitude with persistence and a high level of integrity
* Ability to work independently while contributing effectively in a team environment
* Proficient in Microsoft Office (Excel, Outlook, PowerPoint, Word)
* Strong hand\-drawing skills for design development and conceptual design
* Working knowledge of SketchUp, Adobe Photoshop, and Adobe Illustrator
* Familiarity with AutoCAD
* Knowledge of industrial design and signage design principles
* Excellent visualization skills
* Ability to read and interpret architectural and technical drawings
* Strong understanding of layouts, dimensioning, and technical detailing

 **Education, Training \& Experience**

* Bachelor’s degree in a relevant field or equivalent combination of education and experience
* 3–5 years of relevant professional design experience
* Experience in signage, engineering, or construction industries is a plus

 **Benefits**

* Medical, dental, vision, and life insurance
* Vacation and sick pay plus a floating holiday
* Paid holidays
* 401(k) with company matching after qualifying period
* Referral bonus program
* Employee discounts

 **Additional Information**


This job description is not intended to be all\-inclusive. Duties, responsibilities, and activities may change at any time with or without notice.

 **Physical, Mental Demands \& Work Environment**

**Physical Demands**


Employees frequently sit, stand, and walk; communicate in person and by phone; and use hands and fingers repetitively to operate standard office equipment. Employees may occasionally lift and move materials weighing up to 25 pounds. Specific vision abilities include close vision and the ability to adjust focus.

**Mental Demands**


This position requires frequent use of written and oral communication skills; reading and interpreting technical information; analyzing and solving problems; performing highly detailed work; managing multiple concurrent tasks; working under deadlines; and interacting with managers, coworkers, vendors, and the public.

**Work Environment**


The work environment is typically an office setting with a generally quiet noise level. Some assignments may involve moderately noisy environments.

 **Equal Opportunity \& Compliance**


We are an **E\-Verify employer**. Background checks and drug testing are required as part of the hiring process.",,https://www.indeed.com/cmp/Architectural-Design,,https://www.architecturaldesigns.com,,,,,,,,,,,graphic_design,Graphic Designer,"Oakland, CA",2026-01-30T17:00:10.467575,,,,
in-e281853e8de3a76b,indeed,https://www.indeed.com/viewjob?jk=e281853e8de3a76b,https://theshiftnetwork.bamboohr.com/careers/127?source=indeed&src=indeed&postedDate=2026-01-27,Graphic Designer - Independent Contractor,The Shift Network,"San Francisco, CA, US",2026-01-26,contract,direct_data,hourly,35.0,40.0,USD,True,,,,,"Are you an established Independent Contractor working with clients as a graphic designer, matching voice and branding as an expertise? If yes, read on...

 **About Us:**



The Shift Network empowers a global network of more than 2\.5 million people to live their full potential through the events, courses and programs that we offer, featuring leading wisdom keepers and visionaries from around the world. We invite you to explore our site for more information about the courses we offer and the faculty we feature, and to view our branding!

 **Details about this Freelance Position:**


* **You must be an established Independent Contractor to be considered**
* Independent Contractors located in the states of **CA, CO, CT, NY or OR only**will be considered
* Up to approximately 65 hours per month
* The contract is expected to last approximately 3 months to start and may be extended
* This contract role pays $35\-40 per hour dependent upon qualifications

  


**Scope of Work:**


* Visual ID development and digital marketing asset production for 1\-2 courses/week
* UX support for various landing pages
* General graphic design support for corporate branded assets

  


**Experience and Skills Desired:**


* Minimum 3 years Graphic Design experience – in\-house team or agency preferred
* Intermediate to Advanced knowledge of Adobe Photoshop, Illustrator and InDesign
* Proficient in other Adobe XD and/or Figma
* Intermediate UX/UI experience a bonus
* Strong experience using brand style guidelines and production of branded digital Marketing assets
* Comfortable communicating directly with internal marketing team
* Meeting attendance, as agreed upon
* Other services that may be reasonably requested

  



If this sounds like your expertise and interests you, **and** you already function as a contractor, please apply now. **Please also supply a portfolio link when applying!**

  

https://theshiftnetwork.com/Notice\-At\-Collection",,https://www.indeed.com/cmp/The-Shift-Network,,http://www.theshiftnetwork.com,Petaluma,11 to 50,,,,,,,,,graphic_design,Graphic Designer,"Oakland, CA",2026-01-30T17:00:10.467575,,,,
li-4356437799,linkedin,https://www.linkedin.com/jobs/view/4356437799,,Brand Designer,OpenAI,"San Francisco, CA",2026-01-29,,,,,,,False,,,,,,,https://www.linkedin.com/company/openai,,,,,,,,,,,,,graphic_design,Graphic Designer,"Oakland, CA",2026-01-30T17:00:10.467575,,,,
